##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	SRR077485_1.filt.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	22311940
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
6	90-91	0.04481495039308925
6	92-93	0.10606722590467399
6	94-95	0.18184690181700347
6	96-97	0.244294787206627
6	98-99	0.2556961391514889
6	100	0.33509125030229825
7	1	-0.04390429076931923
7	2	0.1063864594784576
7	3	-0.01959211594086696
7	4	-0.013299536231066611
7	5	-0.05015739724518653
7	6	-0.03866566157372375
7	7	-0.04820036192246846
7	8	-0.058697376831503334
7	9	-0.07241848616078528
7	10-11	-0.07068945605403343
7	12-13	-0.08746319011498116
7	14-15	-0.06493570719228359
7	16-17	-0.05537459996243399
7	18-19	-0.06021508501818573
7	20-21	-0.05800046380505108
7	22-23	-0.06703483479698491
7	24-25	-0.07246417602657829
7	26-27	-0.02513027030430237
7	28-29	-0.027405777765103778
7	30-31	0.0913748570961701
7	32-33	0.011862796887946558
7	34-35	-0.014322214644728604
7	36-37	0.20918101067770323
7	38-39	0.01671259012168491
7	40-41	0.008226339798483195
7	42-43	-0.03164496717480603
7	44-45	-0.035096480534882346
7	46-47	-0.0015473269802157574
7	48-49	-0.02238906117227657
7	50-51	-0.02399779727780782
7	52-53	-0.07083664947059276
7	54-55	-0.04128235623726084
7	56-57	-0.04972700980317768
7	58-59	-0.035379354692047116
7	60-61	-0.040502116307941094
7	62-63	0.012775795646177812
7	64-65	0.031125986272904527
7	66-67	0.3859621746937094
7	68-69	0.14444138664408968
7	70-71	0.1136379646236989
7	72-73	0.118577207624881
7	74-75	0.09940380925241499
7	76-77	0.06199136231661129
7	78-79	0.05038704219032297
7	80-81	0.04452269733236136
7	82-83	0.046926551748924794
7	84-85	0.07014467026046844
7	86-87	0.033109055873509874
7	88-89	0.061030570455322675
7	90-91	-0.29715200104807593
7	92-93	-0.6925019583272203
7	94-95	-0.18316958507470815
7	96-97	-0.0950627267759998
7	98-99	-0.08439045471573792
7	100	-0.07856959080265824
8	1	-0.03129808521670441
8	2	0.09100524984054204
8	3	-0.06910348756685636
8	4	-0.043244632237239955
8	5	-0.026665305650141136
8	6	-0.07064916177795055
8	7	-0.06584566552255922
8	8	-0.09094119567391346
8	9	-0.0720895248891793
8	10-11	-0.06072915607988705
8	12-13	-0.06929338782973815
8	14-15	-0.06395871603828596
8	16-17	-0.05904069807890977
8	18-19	-0.0609419616618041
8	20-21	-0.07504435852759883
8	22-23	-0.0784248112689454
8	24-25	-0.07842976326628559
8	26-27	-0.05533248947977398
8	28-29	-0.035890082581097715
8	30-31	0.05080298952048423
8	32-33	-0.05110564816436636
8	34-35	-0.0384543448435366
8	36-37	0.20479793900409504
8	38-39	-0.016384757747566425
8	40-41	-0.019338414684312966
8	42-43	-0.023274975957598087
8	44-45	-0.013945301869767945
